Episode,Reward,Pre,True,Probabilities,Steps
95.0,200.0,0.0,0.0,0.00565511267632246,200.0
96.0,200.0,0.0,0.0,0.00270124152302742,200.0
97.0,200.0,0.0,0.0,0.0013260412961244583,200.0
98.0,200.0,0.0,0.0,0.0028736304957419634,200.0
99.0,200.0,0.0,0.0,0.006818798836320639,200.0
100.0,179.0,1.0,1.0,0.5168542265892029,12.0
101.0,169.0,1.0,1.0,0.5508435368537903,11.0
102.0,166.0,1.0,1.0,0.5413588881492615,11.0
103.0,144.0,1.0,1.0,0.5191684365272522,11.0
104.0,200.0,0.0,0.0,0.002355914330109954,200.0
105.0,161.0,1.0,1.0,0.5626222491264343,12.0
106.0,200.0,0.0,0.0,0.00414714589715004,200.0
107.0,163.0,1.0,1.0,0.5513681769371033,11.0
108.0,200.0,0.0,0.0,0.001372385653667152,200.0
109.0,200.0,0.0,0.0,0.001367564662359655,200.0
110.0,164.0,1.0,1.0,0.5614174604415894,11.0
111.0,200.0,0.0,0.0,0.0020181089639663696,200.0
112.0,200.0,0.0,0.0,0.04724801704287529,200.0
113.0,135.0,1.0,1.0,0.6044945120811462,10.0
114.0,200.0,0.0,0.0,0.015683762729167938,200.0
115.0,200.0,0.0,0.0,0.010091534815728664,200.0
116.0,184.0,1.0,1.0,0.5011152029037476,8.0
117.0,200.0,0.0,0.0,0.02333976700901985,200.0
118.0,200.0,0.0,0.0,0.030085084959864616,200.0
119.0,141.0,1.0,1.0,0.5680118203163147,10.0
120.0,200.0,0.0,0.0,0.0014608601341024041,200.0
121.0,145.0,1.0,1.0,0.5008750557899475,11.0
122.0,200.0,0.0,0.0,0.013298924081027508,200.0
123.0,200.0,0.0,0.0,0.015148965641856194,200.0
124.0,200.0,0.0,0.0,0.018825368955731392,200.0
125.0,200.0,0.0,0.0,0.0067585003562271595,200.0
126.0,171.0,1.0,1.0,0.5692534446716309,11.0
127.0,169.0,1.0,1.0,0.5458222031593323,11.0
128.0,184.0,1.0,1.0,0.5011152029037476,8.0
129.0,200.0,0.0,0.0,0.03853335604071617,200.0
130.0,180.0,1.0,1.0,0.5321460962295532,9.0
131.0,193.0,1.0,1.0,0.5650699138641357,10.0
132.0,200.0,0.0,0.0,0.020549466833472252,200.0
133.0,200.0,0.0,0.0,0.059761662036180496,200.0
134.0,200.0,0.0,0.0,0.009589731693267822,200.0
135.0,172.0,1.0,1.0,0.5281903147697449,9.0
136.0,200.0,1.0,0.0,0.5874398946762085,2.0
137.0,193.0,1.0,1.0,0.5650699138641357,10.0
138.0,200.0,0.0,0.0,0.0021170468535274267,200.0
139.0,193.0,1.0,1.0,0.5650699138641357,10.0
140.0,189.0,1.0,1.0,0.5856559872627258,10.0
141.0,200.0,0.0,0.0,0.008583249524235725,200.0
142.0,177.0,1.0,1.0,0.6207972764968872,9.0
143.0,183.0,1.0,1.0,0.5829715132713318,10.0
144.0,200.0,0.0,0.0,0.0053679123520851135,200.0
145.0,171.0,1.0,1.0,0.5692534446716309,11.0
146.0,200.0,0.0,0.0,0.0034858714789152145,200.0
147.0,200.0,0.0,0.0,0.030456921085715294,200.0
148.0,191.0,1.0,1.0,0.5693793296813965,11.0
149.0,200.0,0.0,0.0,0.0019237130181863904,200.0
150.0,200.0,0.0,0.0,0.009948968887329102,200.0
151.0,188.0,1.0,1.0,0.586307942867279,11.0
152.0,157.0,1.0,1.0,0.5682163834571838,11.0
